Vol (mm),P (bar)
3.5,45
3.55,43.9
3.6,43.1
3.65,42.2
3.7,41.8
3.75,41.3
3.8,41
3.85,40.6
3.9,40.3
3.95,40
4,40
4.05,39.8
4.1,39.6
4.2,39.4
4.3,39.2
4.4,39.1
4.5,39
4.6,39
4.7,38.9
4.8,38.8
4.9,38.8
5,38.7
5.1,38.6
5.2,38.5
5.3,38.4
5.4,38.3
5.5,38.2
5.6,38.2
5.7,38.1
5.8,38.1
5.9,38
6,38
6.2,37.9
6.4,37.8
6.6,37.6
6.8,37.3
7,37.1
7.2,37
7.4,36.8
7.6,36.6
7.8,36.2
8,36
8.2,35.8
8.4,35.4
8.6,35
8.8,34.9
9,34.3
9.2,34.2
9.4,33.9
9.6,33.4
9.8,33.1
10,32.8
10.2,32.5
10.4,32.1
10.6,31.9
10.8,31.6
11,31.2
11.5,30.4
12,29.6
12.5,28.9
13,28.2
13.5,27.4
14,26.9
14.5,26.2
15,25.7
15.5,25
16,24.4
16.5,23.9
17,23.3
17.5,22.9
18,22.3
18.5,22
19,21.5
19.5,21.1
20,20.7
20.5,20.1
21,19.8
22,19
23,18.2
24,17.8
25,17
26,16.5
27,16
28,15.5
29,15
44.5,10
