Voltage,180C,195C,210C
0,-1.20E-13,-1.49E-13,4.06E-15
0.1,-6.29E-14,-5.45E-14,-3.20E-14
0.2,-6.52E-14,-1.00E-13,-7.04E-14
0.3,-1.57E-14,-5.81E-14,-1.55E-13
0.4,-1.30E-14,-1.55E-14,-1.38E-13
0.5,1.02E-12,-7.46E-14,-2.21E-13
0.6,-2.78E-15,9.70E-15,-1.78E-13
0.7,-1.77E-15,-3.96E-14,-1.17E-13
0.8,2.39E-16,-1.32E-14,-7.24E-14
0.9,3.91E-14,-3.58E-15,-1.54E-13
1,1.03E-14,-2.33E-14,-2.18E-13
1.1,-9.22E-15,-4.16E-14,-1.00E-13
1.2,-3.60E-14,-1.64E-16,-1.05E-13
1.3,-1.83E-14,-1.89E-13,-2.46E-13
1.4,-1.08E-14,-9.35E-14,-2.36E-13
1.5,-2.17E-14,-6.29E-14,-5.90E-13
1.6,-4.22E-14,-3.11E-14,-9.92E-14
1.7,-1.34E-14,-9.22E-15,-6.46E-13
1.8,-3.79E-15,-9.63E-14,-4.14E-13
1.9,-1.40E-14,3.48E-14,-2.68E-13
2,3.66E-15,-1.04E-14,-1.50E-13
2.1,-6.20E-15,-7.36E-14,-3.57E-13
2.2,4.57E-14,-2.89E-14,-5.66E-13
2.3,1.85E-15,-4.19E-15,-8.97E-13
2.4,1.01E-13,-1.08E-13,-4.04E-13
2.5,1.31E-13,-7.76E-14,-6.48E-13
2.6,1.76E-13,-7.08E-14,-3.70E-13
2.7,2.86E-13,6.68E-14,-3.49E-13
2.8,3.60E-13,3.08E-13,-1.73E-14
2.9,5.86E-13,1.26E-13,-2.59E-13
3,7.22E-13,1.65E-13,-7.50E-14
3.1,8.85E-13,5.22E-13,1.45E-13
3.2,1.07E-12,6.04E-13,2.40E-13
3.3,1.39E-12,8.69E-13,2.02E-13
3.4,1.68E-12,9.33E-13,1.89E-13
3.5,2.12E-12,1.28E-12,2.93E-13
3.6,2.50E-12,1.19E-12,3.74E-13
3.7,3.08E-12,1.49E-12,4.25E-13
3.8,3.66E-12,1.55E-12,6.78E-13
3.9,4.43E-12,2.57E-12,8.00E-13
4,5.27E-12,2.72E-12,9.26E-13
4.1,6.24E-12,2.61E-12,1.08E-12
4.2,7.40E-12,3.95E-12,1.12E-12
4.3,8.68E-12,1.47E-11,1.26E-12
4.4,1.01E-11,5.98E-12,1.81E-12
4.5,1.18E-11,6.29E-12,2.57E-12
4.6,1.37E-11,7.31E-12,2.42E-12
4.7,1.56E-11,9.47E-12,2.64E-12
4.8,1.81E-11,1.09E-11,3.05E-12
4.9,2.07E-11,1.30E-11,3.16E-12
5,2.37E-11,1.40E-11,4.58E-12
5.1,2.71E-11,1.56E-11,5.20E-12
5.2,3.03E-11,1.75E-11,4.52E-12
5.3,3.46E-11,1.92E-11,5.47E-12
5.4,3.95E-11,2.14E-11,6.43E-12
5.5,4.46E-11,2.40E-11,6.65E-12
5.6,5.04E-11,2.67E-11,9.06E-12
5.7,5.65E-11,2.95E-11,1.00E-11
5.8,6.30E-11,3.26E-11,1.12E-11
5.9,7.04E-11,3.59E-11,1.14E-11
6,7.87E-11,3.92E-11,1.39E-11
6.1,8.75E-11,4.34E-11,1.50E-11
6.2,9.74E-11,4.78E-11,1.67E-11
6.3,1.07E-10,5.24E-11,1.90E-11
6.4,1.17E-10,5.77E-11,2.06E-11
6.5,1.26E-10,6.32E-11,2.25E-11
6.6,1.36E-10,6.87E-11,2.40E-11
6.7,1.46E-10,7.44E-11,2.71E-11
6.8,1.56E-10,8.19E-11,2.79E-11
6.9,1.65E-10,8.80E-11,3.16E-11
7,1.74E-10,9.49E-11,3.39E-11
7.099,1.83E-10,1.02E-10,3.80E-11
7.2,1.92E-10,1.10E-10,4.10E-11
7.3,2.00E-10,1.16E-10,4.41E-11
7.4,2.07E-10,1.22E-10,4.73E-11
7.5,2.13E-10,1.30E-10,5.03E-11
7.6,2.19E-10,1.35E-10,5.25E-11
7.7,2.26E-10,1.43E-10,5.52E-11
7.8,2.31E-10,1.47E-10,6.23E-11
7.9,2.37E-10,1.55E-10,6.55E-11
8,2.41E-10,1.63E-10,6.98E-11
8.1,2.45E-10,1.68E-10,7.36E-11
8.2,2.50E-10,1.75E-10,7.82E-11
8.3,2.53E-10,1.79E-10,8.18E-11
8.4,2.57E-10,1.84E-10,8.53E-11
8.5,2.61E-10,1.90E-10,9.16E-11
8.6,2.63E-10,1.95E-10,9.43E-11
8.7,2.65E-10,1.96E-10,9.87E-11
8.8,2.68E-10,2.01E-10,1.05E-10
8.9,2.68E-10,2.07E-10,1.07E-10
9,2.71E-10,2.08E-10,1.09E-10
9.1,2.74E-10,2.14E-10,1.18E-10
9.2,2.79E-10,2.20E-10,1.21E-10
9.3,2.84E-10,2.22E-10,1.25E-10
9.4,2.90E-10,2.26E-10,1.29E-10
9.5,2.97E-10,2.28E-10,1.34E-10
9.6,3.05E-10,2.32E-10,1.38E-10
9.7,3.15E-10,2.34E-10,1.41E-10
9.8,3.28E-10,2.39E-10,1.45E-10
9.9,3.43E-10,2.45E-10,1.50E-10
10,3.60E-10,2.49E-10,1.54E-10
10.1,3.81E-10,2.55E-10,1.57E-10
10.2,4.05E-10,2.64E-10,1.61E-10
10.3,4.30E-10,2.74E-10,1.65E-10
10.4,4.59E-10,2.83E-10,1.72E-10
10.5,4.91E-10,2.94E-10,1.76E-10
10.6,5.30E-10,3.08E-10,1.81E-10
10.7,5.66E-10,3.25E-10,1.86E-10
10.8,6.07E-10,3.41E-10,1.95E-10
10.9,6.54E-10,3.57E-10,2.01E-10
11,7.01E-10,3.83E-10,2.07E-10
11.1,7.50E-10,4.03E-10,2.15E-10
11.2,7.99E-10,4.28E-10,2.24E-10
11.3,8.47E-10,4.52E-10,2.32E-10
11.4,9.03E-10,4.69E-10,2.38E-10
11.5,9.57E-10,4.97E-10,2.44E-10
11.6,1.01E-09,5.19E-10,2.54E-10
11.7,1.04E-09,5.40E-10,2.64E-10
11.8,1.07E-09,5.67E-10,2.72E-10
11.9,1.10E-09,5.85E-10,2.83E-10
12,1.13E-09,6.04E-10,2.91E-10
12.1,1.14E-09,6.21E-10,3.01E-10
12.2,1.15E-09,6.35E-10,3.09E-10
12.3,1.16E-09,6.46E-10,3.23E-10
12.4,1.16E-09,6.57E-10,3.37E-10
12.5,1.15E-09,6.68E-10,3.43E-10
12.6,1.14E-09,6.75E-10,3.53E-10
12.7,1.13E-09,6.81E-10,3.57E-10
12.8,1.12E-09,6.85E-10,3.71E-10
12.9,1.10E-09,6.87E-10,3.81E-10
13,1.08E-09,6.92E-10,3.88E-10
13.1,1.06E-09,6.93E-10,3.97E-10
13.2,1.04E-09,6.93E-10,4.07E-10
13.3,1.01E-09,6.94E-10,4.09E-10
13.4,9.95E-10,6.93E-10,4.19E-10
13.5,9.77E-10,6.94E-10,4.24E-10
13.6,9.61E-10,6.86E-10,4.32E-10
13.7,9.50E-10,6.90E-10,4.36E-10
13.8,9.41E-10,6.91E-10,4.37E-10
13.9,9.40E-10,6.89E-10,4.45E-10
14,9.39E-10,6.89E-10,4.52E-10
14.1,9.46E-10,6.91E-10,4.56E-10
14.2,9.59E-10,7.00E-10,4.64E-10
14.3,9.76E-10,7.02E-10,4.69E-10
14.4,1.01E-09,7.11E-10,4.75E-10
14.5,1.04E-09,7.16E-10,4.78E-10
14.6,1.08E-09,7.33E-10,4.84E-10
14.7,1.13E-09,7.41E-10,4.90E-10
14.8,1.19E-09,7.55E-10,5.00E-10
14.9,1.25E-09,7.76E-10,5.00E-10
15,1.32E-09,8.02E-10,5.12E-10
15.1,1.40E-09,8.30E-10,5.27E-10
15.201,1.49E-09,8.59E-10,5.32E-10
15.3,1.58E-09,9.01E-10,5.45E-10
15.4,1.69E-09,9.35E-10,5.50E-10
15.5,1.80E-09,9.80E-10,5.57E-10
15.6,1.92E-09,1.02E-09,5.77E-10
15.7,2.05E-09,1.07E-09,5.88E-10
15.8,2.18E-09,1.11E-09,6.04E-10
15.9,2.34E-09,1.17E-09,6.21E-10
16,2.49E-09,1.22E-09,6.42E-10
16.1,2.64E-09,1.28E-09,6.62E-10
16.2,2.79E-09,1.34E-09,6.81E-10
16.3,2.93E-09,1.39E-09,7.05E-10
16.4,3.04E-09,1.45E-09,7.23E-10
16.5,3.16E-09,1.51E-09,7.44E-10
16.6,3.24E-09,1.55E-09,7.67E-10
16.7,3.30E-09,1.59E-09,7.89E-10
16.8,3.32E-09,1.63E-09,8.11E-10
16.901,3.35E-09,1.66E-09,8.31E-10
17,3.35E-09,1.69E-09,8.52E-10
17.1,3.31E-09,1.70E-09,8.74E-10
17.2,3.26E-09,1.71E-09,8.82E-10
17.3,3.21E-09,1.72E-09,9.12E-10
17.4,3.12E-09,1.71E-09,9.29E-10
17.5,3.02E-09,1.71E-09,9.46E-10
17.6,2.92E-09,1.69E-09,9.62E-10
17.7,2.82E-09,1.66E-09,9.77E-10
17.8,2.70E-09,1.64E-09,9.89E-10
17.9,2.58E-09,1.61E-09,1.00E-09
18,2.48E-09,1.58E-09,1.01E-09
18.1,2.37E-09,1.55E-09,1.01E-09
18.2,2.28E-09,1.52E-09,1.02E-09
18.3,2.19E-09,1.48E-09,1.02E-09
18.4,2.11E-09,1.46E-09,1.02E-09
18.5,2.05E-09,1.43E-09,1.02E-09
18.601,2.00E-09,1.41E-09,1.02E-09
18.7,1.97E-09,1.39E-09,1.02E-09
18.8,1.96E-09,1.37E-09,1.01E-09
18.9,1.96E-09,1.37E-09,1.01E-09
19,1.98E-09,1.37E-09,1.01E-09
19.1,2.02E-09,1.37E-09,1.00E-09
19.2,2.06E-09,1.39E-09,1.01E-09
19.3,2.12E-09,1.41E-09,1.00E-09
19.4,2.21E-09,1.44E-09,1.00E-09
19.5,2.31E-09,1.47E-09,1.02E-09
19.6,2.44E-09,1.52E-09,1.02E-09
19.7,2.57E-09,1.57E-09,1.03E-09
